Type,Index,TP,FP,TN,FN,P,R,F,PWC
Frame,58.0,1730,2084,409559,321,0.45359202936549553,0.8434909800097513,0.5899403239556693,0.005813475660754084
Frame,59.0,1762,2058,409544,330,0.4612565445026178,0.8422562141491395,0.5960757780784844,0.005772382485605303
Frame,60.0,1774,2061,409545,309,0.4625814863102999,0.8516562650024004,0.5995268671848598,0.005728941306150272
Frame,61.0,1753,1997,409630,306,0.46746666666666664,0.8513841670713939,0.6035462213806163,0.005567024264780534
Frame,62.0,1768,1969,409658,296,0.4731067701364731,0.8565891472868217,0.6095500775728323,0.005475100981167103
Frame,63.0,1779,1995,409638,281,0.4713831478537361,0.8635922330097088,0.6098731573534454,0.005501664277616493
Frame,64.0,1765,1960,409662,312,0.4738255033557047,0.8497833413577275,0.6084108927955878,0.005491915619810539
Frame,65.0,1762,1950,409685,296,0.47467672413793105,0.8561710398445093,0.6107452339688042,0.005429146734414167
Frame,66.0,1772,1892,409701,330,0.4836244541484716,0.8430066603235015,0.6146375303503295,0.005371106733221335
Frame,67.0,1761,1915,409654,356,0.47905331882480956,0.8318375059045819,0.6079751424132573,0.005489670909820492
Frame,68.0,1735,1880,409698,385,0.47994467496542187,0.8183962264150944,0.6050566695727986,0.005475008339416676
Frame,69.0,1708,1872,409720,393,0.4770949720670391,0.8129462160875773,0.6013025875726105,0.00547507451177564
Frame,70.0,1698,1869,409703,412,0.4760302775441548,0.804739336492891,0.5982032763783689,0.005513897148050918
Frame,71.0,1715,1828,409801,373,0.4840530623765171,0.821360153256705,0.6091280412004972,0.005320061781362622
Frame,72.0,1739,1744,409719,389,0.49928222796439853,0.8171992481203008,0.6198538584922474,0.005157268896083329
Frame,73.0,1745,1702,409763,348,0.5062373078038874,0.8337314859053989,0.6299638989169675,0.00495698305920814
Frame,74.0,1739,1673,409662,424,0.5096717467760844,0.8039759593157652,0.6238565022421525,0.005071366729706069
Frame,75.0,1760,1685,409534,483,0.5108853410740203,0.7846633972358449,0.6188466947960619,0.005243529030479222
Frame,76.0,1756,1675,409477,546,0.5118041387350627,0.7628149435273676,0.6125937554508983,0.005371818872232461
Frame,77.0,1807,1671,409410,562,0.519551466359977,0.76276910088645,0.6180947494441593,0.005400894908695127
Frame,78.0,1852,1647,409339,570,0.5292940840240069,0.7646573080099092,0.6255700050667117,0.005362740924220141
Frame,79.0,1909,1640,409255,570,0.537897999436461,0.7700685760387252,0.6333775713337758,0.005346248191710171
Frame,80.0,1905,1655,409141,637,0.5351123595505618,0.7494099134539732,0.624385447394297,0.005545098684369693
Frame,81.0,1961,1652,409029,693,0.5427622474398007,0.7388847023360965,0.6258177756502313,0.005673364220305563
Frame,82.0,2073,1649,408854,667,0.5569586243954863,0.7565693430656935,0.6415970287836583,0.005604450650101756
Frame,83.0,2112,1660,408784,647,0.559915164369035,0.765494744472635,0.6467615985300873,0.00558321212575901
Frame,84.0,2090,1617,408769,678,0.5637982195845698,0.755057803468208,0.6455598455598456,0.005554829434060907
Frame,85.0,2113,1639,408887,543,0.5631663113006397,0.7955572289156626,0.6594881398252185,0.005280965772952355
Frame,86.0,2152,1656,408953,475,0.5651260504201681,0.8191853825656643,0.6688422688422689,0.005156859518531783
Frame,87.0,2191,1628,408957,485,0.5737103953914637,0.8187593423019432,0.6746728252501925,0.005112991547714398
Frame,88.0,2163,1640,409003,444,0.5687615040757297,0.8296892980437284,0.6748829953198129,0.005042952208106473
Frame,89.0,2214,1629,409015,384,0.5761124121779859,0.8521939953810623,0.687470889613414,0.004871237676712435
Frame,90.0,2207,1684,408932,424,0.5672063736828579,0.8388445458000761,0.6767862618828581,0.005101065464480081
Frame,91.0,2199,1697,408919,441,0.5644250513347022,0.8329545454545455,0.6728886168910648,0.005173548599415374
Frame,92.0,2244,1672,408918,431,0.5730337078651685,0.8388785046728972,0.6809285389167046,0.005088744510181119
Frame,93.0,2226,1671,408992,437,0.5712086220169361,0.8358993616222306,0.6786585365853659,0.005100090485476355
Frame,94.0,2216,1701,408984,427,0.565739086035231,0.838441165342414,0.6756097560975609,0.005148453528432625
Frame,95.0,2199,1673,408982,482,0.5679235537190083,0.8202163371876166,0.6711429879444529,0.005213676040799736
Frame,96.0,2275,1736,408847,474,0.5671902268760908,0.8275736631502365,0.6730769230769231,0.005346791441262714
Frame,97.0,2258,1717,408867,479,0.5680503144654088,0.824990865911582,0.6728247914183552,0.005313061760713828
Frame,98.0,2281,1720,408825,524,0.5701074731317171,0.8131907308377897,0.6702909197766677,0.00542881335430023
Frame,99.0,2287,1768,408815,455,0.5639950678175093,0.8340627279358133,0.6729439458584671,0.0053783342406096895
Frame,100.0,2385,1704,408785,494,0.5832721936903889,0.8284126432789163,0.6845579793340988,0.005317295968725204
Frame,101.0,2380,1781,408711,467,0.5719778899303052,0.8359676852827538,0.6792237442922374,0.00543863511548632
Frame,102.0,2524,1724,408593,507,0.5941619585687382,0.8327284724513362,0.693501854650364,0.00539738912490202
Frame,103.0,2436,1748,408489,590,0.5822179732313576,0.8050231328486451,0.6757281553398059,0.00565741428581799
Frame,104.0,2453,1765,408470,590,0.5815552394499763,0.806112389089714,0.675664509020796,0.005698343487918544
Frame,105.0,2497,1732,408309,617,0.590446914164105,0.8018625561978163,0.6801034999319079,0.00568551754184265
Frame,106.0,2523,1727,408273,553,0.5936470588235294,0.820221066319896,0.6887796887796889,0.005519565406850072
Frame,107.0,2496,1739,408277,567,0.5893742621015349,0.8148873653281097,0.684023020005481,0.005582467276235297
Frame,108.0,2599,1756,408100,568,0.5967853042479908,0.8206504578465424,0.6910396171231056,0.005626805286872644
Frame,109.0,2531,1773,408050,663,0.5880576208178439,0.7924232936756418,0.6751133635636168,0.005898062307362651
Frame,110.0,2584,1770,408102,539,0.5934772622875517,0.8274095421069484,0.6911863046676474,0.00559086671751474
Frame,111.0,2642,1758,408041,576,0.6004545454545455,0.8210068365444375,0.6936203728012602,0.005651099107300668
Frame,112.0,2575,1741,408094,572,0.5966172381835032,0.8182395932634254,0.6900710170172852,0.00560072836104237
Frame,113.0,2557,1730,408107,620,0.5964543970142291,0.8048473402581051,0.6851554126473741,0.005689879761945116
Frame,114.0,2480,1746,408208,616,0.5868433506862281,0.8010335917312662,0.6774105435673313,0.005718436024694347
Frame,115.0,2449,1772,408246,587,0.5801942667614309,0.8066534914361001,0.6749345459556291,0.0057111176746866025
Frame,116.0,2507,1759,408085,667,0.5876699484294421,0.7898550724637681,0.6739247311827956,0.005873836007147388
Frame,117.0,2507,1809,408062,625,0.5808619091751622,0.8004469987228607,0.6732008592910849,0.005893419660389876
Frame,118.0,2577,1866,408056,505,0.5800135043889264,0.836145360155743,0.6849169435215947,0.005740864495259125
Frame,119.0,2580,1901,407975,545,0.5757643383173399,0.8256,0.6784117801735472,0.005922503819603343
Frame,120.0,2618,1958,407985,475,0.5721153846153846,0.8464274167474943,0.6827487286478028,0.005890527702185766
Frame,121.0,2654,1963,407904,507,0.5748321420836041,0.8396077190762417,0.6824376446387246,0.0059802241010294705
Frame,122.0,2697,2018,407797,515,0.5720042417815483,0.8396637608966376,0.6804591901097515,0.006132770981073877
Frame,123.0,2663,2051,407882,445,0.5649130250318201,0.8568211068211068,0.6809000255689082,0.0060429836263228105
Frame,124.0,2853,2100,407840,385,0.5760145366444579,0.8810994441012971,0.6966182395311928,0.006014357008359593
Frame,125.0,2770,2077,407881,433,0.5714875180524035,0.8648142366531377,0.6881987577639751,0.0060751135755794956
Frame,126.0,2837,2054,407865,415,0.5800449805765692,0.8723862238622386,0.6967947930738057,0.005975734018118406
Frame,127.0,2933,2019,407828,396,0.5922859450726979,0.8810453589666567,0.7083685545224008,0.005844966793811838
Frame,128.0,2859,2041,407846,451,0.583469387755102,0.8637462235649547,0.6964677222898904,0.006031021522421508
Frame,129.0,2828,1960,407831,516,0.5906432748538012,0.8456937799043063,0.6955238563698968,0.005993198349207886
Frame,130.0,2867,1959,407813,520,0.5940737670949026,0.8464718039563035,0.6981614513576037,0.006000111337281773
Frame,131.0,2926,1875,407701,513,0.6094563632576546,0.850828729281768,0.7101941747572815,0.005781872329092164
Frame,132.0,2875,1845,407702,492,0.6091101694915254,0.8538758538758539,0.7110176827006307,0.005659774190267222
Frame,133.0,2788,1785,407702,562,0.6096654275092936,0.8322388059701492,0.7037738230468257,0.0056850524541162736
Frame,134.0,2726,1754,407697,583,0.6084821428571429,0.823813841039589,0.699961484144306,0.005661885841651323
Frame,135.0,2700,1745,407733,653,0.6074240719910011,0.8052490307187593,0.6924852526288792,0.0058086723138524
Frame,136.0,2697,1731,407715,669,0.6090785907859079,0.8012477718360071,0.6920708237105465,0.005813784483009215
Frame,137.0,2722,1708,407735,696,0.6144469525959368,0.7963721474546518,0.6936799184505607,0.005822782970539722
Frame,138.0,2805,1630,407594,642,0.6324689966178129,0.8137510879025239,0.7117482872367419,0.005505596467888463
Frame,139.0,2865,1548,407837,591,0.6492182188987083,0.8289930555555556,0.7281738467403737,0.005181171443727731
Frame,140.0,2825,1458,407943,604,0.6595844034555218,0.8238553514144066,0.7326244813278008,0.004994792045151757
Totals,102,222648,192718,41698445,46728,0.5360284664609044,0.8265324305060584,0.6503120883486043,0.005679386594179927
Averages,102,2182.823529411765,1889.3921568627452,408808.2843137255,458.11764705882354,0.5360284664609044,0.8265324305060585,0.6503120883486043,0.005679386594179927
